sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
99,0.36619718309859156,0.2758620689655172,0.057971014492753624,0.03571428571428571,0.22535211267605634,0.1379310344827586,0.01500243980428485,0.010144853044462408,0.21666666666666667,0.12152777777777778
100,0.3658536585365854,0.34146341463414637,0.1,0.075,0.29268292682926833,0.2682926829268293,0.03167596767729106,0.014702029131303569,0.27212520645916516,0.2442622689357087
101,0.3181818181818182,0.20253164556962022,0.0697674418604651,0.07792207792207792,0.20454545454545459,0.12658227848101267,0.01386133441519391,0.01126513157564408,0.1480637813211845,0.06993006993006992
102,0.3466666666666667,0.24,0.10958904109589042,0.0,0.21333333333333332,0.12,0.011440503453835606,0.00956240657444202,0.22119341563786013,0.08264462809917354
103,0.30303030303030304,0.30434782608695654,0.12371134020618559,0.11111111111111112,0.2626262626262626,0.21739130434782608,0.025678384507197637,0.026037258624452747,0.17184257003261524,0.1636024882976103
104,0.35820895522388063,0.3333333333333333,0.1846153846153846,0.24137931034482757,0.29850746268656714,0.3,0.07569298710889658,0.09762877195286271,0.369873046875,0.37055335968379444
105,0.1348314606741573,0.275,0.0,0.1282051282051282,0.0898876404494382,0.225,0.005484236895303142,0.025984987978515034,0.09138381201044386,0.23914209115281504
106,0.15686274509803924,0.15384615384615385,0.02,0.022471910112359546,0.07843137254901962,0.08791208791208793,0.008608987765421757,0.005034460682273033,0.1097464157287629,0.10009128847157016
107,0.41463414634146345,0.37974683544303794,0.125,0.1038961038961039,0.2926829268292683,0.2278481012658228,0.036400758840074536,0.007232031895361329,0.30449413808076425,0.2692069736821232
108,0.2285714285714286,0.17857142857142855,0.029411764705882356,0.0,0.1142857142857143,0.10714285714285714,0.006550873947814101,0.00821807407726565,0.1079136690647482,0.056818181818181816
109,0.2826086956521739,0.31884057971014496,0.08888888888888888,0.02985074626865672,0.17391304347826086,0.11594202898550725,0.0123260848753246,0.007094215779738816,0.22773062414266118,0.15000000000000002
110,0.2857142857142857,0.42857142857142855,0.13333333333333333,0.1851851851851852,0.2077922077922078,0.2857142857142857,0.08117578843952025,0.01867506984330751,0.18181818181818182,0.3498039215686275
