sample_id,BART_pre_rouge1,PEGASUS_pre_rouge1,BART_pre_rouge2,PEGASUS_pre_rouge2,BART_pre_rougel,PEGASUS_pre_rougel,BART_pre_bleu,PEGASUS_pre_bleu,BART_pre_meteor,PEGASUS_pre_meteor
123,0.33333333333333337,0.38235294117647056,0.07894736842105263,0.09090909090909091,0.20512820512820512,0.2647058823529412,0.012049505059461792,0.014098910172549634,0.24615658046743094,0.22203445524104587
124,0.7654320987654321,0.3928571428571428,0.7088607594936709,0.3703703703703704,0.7654320987654321,0.3928571428571428,0.4928178514390276,0.22360000406709998,0.7935180556372404,0.26890432098765427
125,0.5901639344262295,0.6938775510204082,0.3389830508474576,0.425531914893617,0.4590163934426229,0.4489795918367347,0.11254938826334643,0.2108445456905127,0.5346350534635054,0.4204035874439461
126,0.2682926829268293,0.3529411764705882,0.075,0.0909090909090909,0.2682926829268293,0.23529411764705885,0.014011697931222915,0.008401002752367033,0.23152473350101804,0.09230769230769231
127,0.1509433962264151,0.29729729729729726,0.01923076923076923,0.1111111111111111,0.11320754716981131,0.1891891891891892,0.00879423328912265,0.01381281916041592,0.0992943761355474,0.16999260901699925
128,0.28205128205128205,0.2413793103448276,0.02631578947368421,0.03571428571428572,0.1282051282051282,0.20689655172413793,0.005982129067776496,0.00967763449717078,0.15679442508710803,0.09505703422053233
129,0.3132530120481928,0.4827586206896552,0.14814814814814814,0.21428571428571427,0.1686746987951807,0.2413793103448276,0.07498804358507438,0.13461801293778908,0.26557488095949633,0.3959350834350834
130,0.2921348314606742,0.2571428571428572,0.022988505747126436,0.058823529411764705,0.11235955056179775,0.17142857142857143,0.011877413503212092,0.005649253815540524,0.18824758865148067,0.07614213197969542
131,0.25263157894736843,0.3703703703703704,0.10752688172043011,0.22784810126582278,0.14736842105263157,0.3209876543209877,0.057696334522615064,0.11975662484322538,0.15678168677409376,0.27280776961025455
132,0.38202247191011235,0.2580645161290323,0.20689655172413793,0.06666666666666667,0.2696629213483146,0.12903225806451615,0.06859090501440615,0.012974107356101916,0.26766607877718995,0.07163323782234957
133,0.4,0.3076923076923077,0.24137931034482757,0.16,0.30000000000000004,0.2692307692307692,0.03167596767729106,0.014672606369868058,0.4024980145837846,0.19976265822784808
134,0.3384615384615385,0.42857142857142855,0.126984126984127,0.14814814814814814,0.24615384615384614,0.28571428571428575,0.007942181016469338,0.011856660123276007,0.09960159362549802,0.12448132780082988
135,0.4631578947368421,0.4,0.12903225806451613,0.10256410256410257,0.23157894736842105,0.225,0.03614851517838537,0.018130356690410385,0.35147550111358583,0.2474563953488372
136,0.3962264150943396,0.4367816091954023,0.24999999999999994,0.2823529411764706,0.3584905660377358,0.4137931034482758,0.18717262075408836,0.19376220268505745,0.2766217564870259,0.3450060822527629
137,0.2727272727272727,0.34146341463414637,0.06976744186046512,0.049999999999999996,0.18181818181818182,0.21951219512195122,0.013513353086126568,0.014187468588792001,0.17084001480202296,0.24344763286025073
138,0.5128205128205128,0.41269841269841273,0.2368421052631579,0.1639344262295082,0.23076923076923075,0.3174603174603175,0.044755167647026896,0.0436395214674518,0.27586319006437343,0.21967526265520534
139,0.2696629213483146,0.24242424242424246,0.02298850574712644,0.03125000000000001,0.20224719101123598,0.15151515151515152,0.012640874819987349,0.0050012928391896605,0.14676674364896072,0.061124694376528114
140,0.46913580246913583,0.4727272727272727,0.27848101265822783,0.2641509433962264,0.34567901234567905,0.43636363636363634,0.1564035704267365,0.17952057900869664,0.4537132888582163,0.3188775510204082
141,0.3037974683544304,0.26229508196721313,0.051948051948051945,0.0,0.17721518987341772,0.13114754098360656,0.025042878540631138,0.00911248771257107,0.2530497856907352,0.12658227848101264
142,0.3461538461538462,0.3188405797101449,0.09803921568627452,0.11940298507462685,0.21153846153846156,0.20289855072463767,0.012011055432195763,0.029790553062929638,0.26668233082706766,0.12465373961218838
143,0.2941176470588235,0.4666666666666667,0.1,0.4090909090909091,0.15686274509803919,0.4666666666666667,0.01649302650123873,0.3038577272648444,0.1519763769652609,0.3653832494659258
144,0.26373626373626374,0.5714285714285714,0.06741573033707865,0.2592592592592593,0.15384615384615385,0.2857142857142857,0.022351186570481754,0.052157188653417,0.169971671388102,0.36003784014394086
145,0.07894736842105263,0.2711864406779661,0.0,0.03508771929824561,0.052631578947368425,0.20338983050847456,0.004545435141870279,0.016789125215525624,0.08710801393728224,0.169811320754717
146,0.23404255319148937,0.20512820512820512,0.043478260869565216,0.026315789473684213,0.1702127659574468,0.15384615384615383,0.01153419728869882,0.011120396210028027,0.18418526517878567,0.0898876404494382
147,0.21333333333333335,0.3846153846153846,0.05479452054794521,0.12000000000000001,0.16,0.34615384615384615,0.010188015780415297,0.02019074850994527,0.17374517374517373,0.22736378205128205
148,0.5647058823529413,0.3050847457627119,0.36144578313253006,0.07017543859649122,0.4235294117647059,0.1694915254237288,0.24472760313832687,0.03223134100086523,0.5349442281729648,0.18305661983822905
