sample_id,BART_post_rouge1,PEGASUS_post_rouge1,BART_post_rouge2,PEGASUS_post_rouge2,BART_post_rougel,PEGASUS_post_rougel,BART_post_bleu,PEGASUS_post_bleu,BART_post_meteor,PEGASUS_post_meteor
1845,0.3764705882352941,0.4383561643835617,0.14457831325301204,0.1971830985915493,0.18823529411764706,0.136986301369863,0.030469273960613164,0.04139156711877854,0.3197707736389685,0.3623971976850442
1846,0.3793103448275862,0.48351648351648346,0.10526315789473684,0.24719101123595505,0.25862068965517243,0.3516483516483517,0.02290430096985733,0.12374422939017311,0.2928571428571428,0.34940206742787644
1847,0.46153846153846156,0.31428571428571433,0.1797752808988764,0.08823529411764705,0.2417582417582418,0.14285714285714288,0.035906331642091054,0.0139906071978976,0.4050016170535877,0.14225434491978609
1848,0.40298507462686567,0.4273504273504274,0.1818181818181818,0.17391304347826086,0.20895522388059698,0.2393162393162393,0.11283513475843147,0.08074424451317413,0.2591576165391831,0.2988835066162571
1849,0.40350877192982454,0.5137614678899083,0.10714285714285714,0.2616822429906542,0.2631578947368421,0.36697247706422026,0.0322200206808624,0.166037634298854,0.2556964944649446,0.3362571494439626
1850,0.5306122448979592,0.5714285714285713,0.27083333333333337,0.3170731707317074,0.2857142857142857,0.35714285714285715,0.20661591428108778,0.13967017877393567,0.37238167938931294,0.31262635247691284
1851,0.549618320610687,0.4485981308411215,0.24806201550387597,0.19047619047619047,0.22900763358778628,0.2429906542056075,0.12459682678718254,0.06475438308620983,0.3286520150532419,0.231055900621118
1852,0.2595419847328244,0.3111111111111111,0.062015503875969,0.10526315789473685,0.16793893129770993,0.19259259259259257,0.04534670916915221,0.0579518035733566,0.12019845532197841,0.16109250047670953
1853,0.45871559633027525,0.39560439560439564,0.11214953271028036,0.11235955056179775,0.20183486238532108,0.2197802197802198,0.01845624464457861,0.015389517413641083,0.31460977585741295,0.23186107673267328
1854,0.3717948717948718,0.39999999999999997,0.09090909090909091,0.14457831325301204,0.16666666666666669,0.18823529411764706,0.019974940234590653,0.0202439088671781,0.2771917487107361,0.20908900669642855
1855,0.4576271186440678,0.5517241379310346,0.27586206896551724,0.3529411764705882,0.33898305084745767,0.3448275862068966,0.12841695694340807,0.1112904686659939,0.3238236122851507,0.3746775363316716
1856,0.46153846153846156,0.8055555555555555,0.2631578947368421,0.6857142857142857,0.41025641025641024,0.7499999999999999,0.15701014973532346,0.39353087227122546,0.38795034816833185,0.6407740843336411
1857,0.35772357723577236,0.3695652173913044,0.16528925619834708,0.20000000000000004,0.2601626016260163,0.32608695652173914,0.07577393481150407,0.12451314185232248,0.2770949720670392,0.2098742603550296
1858,0.46774193548387094,0.49438202247191015,0.19672131147540983,0.25287356321839083,0.20967741935483872,0.35955056179775285,0.07480447919606817,0.08793984704449635,0.3251298459931084,0.26810810810810815
1859,0.4264705882352941,0.40350877192982454,0.16417910447761194,0.16071428571428573,0.20588235294117646,0.19298245614035087,0.03308972736565342,0.018035875938596943,0.22045493784530384,0.17453839253147216
1860,0.2556390977443609,0.3232323232323232,0.0916030534351145,0.061855670103092786,0.19548872180451127,0.18181818181818182,0.018852786469529897,0.008420761448939813,0.1328125,0.13179571663920922
1861,0.2891566265060241,0.2898550724637681,0.07407407407407407,0.08955223880597014,0.19277108433734938,0.2028985507246377,0.010435177484523031,0.007048793693474341,0.26666666666666666,0.20001174812030073
1862,0.5801526717557252,0.5942028985507245,0.32558139534883723,0.3235294117647059,0.33587786259541985,0.30434782608695654,0.24400414436649323,0.21769897651788855,0.3963700108165121,0.4996864178005617
1863,0.6666666666666667,0.7096774193548387,0.46,0.5054945054945055,0.4117647058823529,0.5376344086021505,0.3608569418073304,0.3919889778571937,0.6206378664835813,0.5813754073057795
1864,0.5081967213114754,0.40740740740740744,0.2833333333333333,0.11320754716981132,0.3278688524590164,0.20370370370370372,0.17680824766324973,0.02101299487342348,0.38634199643454353,0.15441580700449506
1865,0.54,0.5,0.3061224489795919,0.33333333333333337,0.36000000000000004,0.45,0.2526213882414725,0.23619025103338215,0.5489339775645359,0.4145231499802137
1866,0.24657534246575344,0.33333333333333326,0.08450704225352114,0.11538461538461538,0.19178082191780818,0.25925925925925924,0.02535021061685972,0.04370614964591188,0.2555668016194332,0.30187351093783843
1867,0.6433566433566433,0.512,0.425531914893617,0.22764227642276422,0.48951048951048953,0.384,0.3178160101881356,0.15030820726410282,0.4718296439800553,0.36894227275479924
1868,0.4615384615384615,0.2894736842105263,0.3157894736842105,0.1081081081081081,0.4102564102564102,0.26315789473684204,0.22692499039089312,0.03408981146282771,0.4754910672283842,0.28863387434033655
1869,0.5434782608695652,0.5813953488372092,0.26666666666666666,0.30952380952380953,0.3695652173913044,0.3023255813953488,0.09834578470659126,0.12238832728919559,0.32007845538737345,0.3518533671548973
1870,0.537313432835821,0.5245901639344263,0.2153846153846154,0.33898305084745767,0.417910447761194,0.32786885245901637,0.1477490668245796,0.20092946521195643,0.3954478987856825,0.31877524185216494
1871,0.43137254901960786,0.42352941176470593,0.18000000000000002,0.14457831325301207,0.2745098039215686,0.3058823529411765,0.019058864535419655,0.01884302148092793,0.2954960045697158,0.24434543402614503
1872,0.6464646464646464,0.5679012345679012,0.35051546391752575,0.30379746835443033,0.4848484848484848,0.4444444444444445,0.2240750868020436,0.12291421474007573,0.5181532782406013,0.35967525566647496
1873,0.4021739130434782,0.5176470588235293,0.1648351648351648,0.14285714285714282,0.2934782608695652,0.23529411764705882,0.10046863042757194,0.011703546886509557,0.29207360506529484,0.32154872389791184
1874,0.44680851063829785,0.575,0.17391304347826086,0.30769230769230765,0.2978723404255319,0.425,0.07819364188971545,0.15344612089354767,0.36320401316003775,0.47400412087912097
1875,0.25,0.3098591549295775,0.023255813953488375,0.08695652173913043,0.15909090909090912,0.16901408450704225,0.011782386561983231,0.012159985973637445,0.20132873293202175,0.14598765432098768
1876,0.48,0.5,0.14285714285714288,0.17073170731707318,0.3,0.2619047619047619,0.07603945204405141,0.016584417555566104,0.3093555093555094,0.3000081503819565
1877,0.686868686868687,0.6024096385542169,0.37113402061855677,0.3950617283950617,0.46464646464646464,0.5542168674698795,0.23169800429268833,0.22229569838921145,0.5436599412950663,0.38767160281001334
1878,0.6464646464646465,0.6578947368421052,0.43298969072164945,0.5135135135135136,0.5656565656565656,0.631578947368421,0.22338096587433956,0.32344032312776255,0.6619053942309434,0.5282094771061089
1879,0.37383177570093457,0.46341463414634143,0.15238095238095237,0.2,0.205607476635514,0.2926829268292683,0.014003177719178032,0.09481216077844942,0.195224171539961,0.278111367718758
1880,0.3529411764705882,0.5333333333333332,0.14,0.3013698630136986,0.29411764705882354,0.37333333333333335,0.036238746344836766,0.12405576802114933,0.2550502232142857,0.4237529691211402
1881,0.4743589743589744,0.47692307692307695,0.2077922077922078,0.171875,0.37179487179487175,0.3384615384615384,0.11018783796619427,0.13403645995560245,0.3943193055162167,0.27800371979760813
1882,0.1702127659574468,0.20930232558139533,0.02173913043478261,0.02380952380952381,0.12765957446808512,0.1627906976744186,0.00879423328912265,0.010393938326032186,0.1385498046875,0.141875
1883,0.37500000000000006,0.48717948717948717,0.10638297872340427,0.18421052631578944,0.20833333333333334,0.35897435897435903,0.01636524062019966,0.04771661455660759,0.29245301819486236,0.37903855320148383
1884,0.6363636363636364,0.5853658536585367,0.4883720930232558,0.275,0.5000000000000001,0.34146341463414637,0.33432718370768866,0.04217599091817322,0.551761635493693,0.2643598615916955
1885,0.42458100558659223,0.34972677595628415,0.15819209039548024,0.12154696132596685,0.1787709497206704,0.2076502732240437,0.07099219628259403,0.034028291434985224,0.2973993668877774,0.2599071200396239
1886,0.6315789473684211,0.6320754716981133,0.38647342995169076,0.36190476190476195,0.5263157894736842,0.5283018867924528,0.1675423001283633,0.16073777022366123,0.404755413615828,0.41760928269226666
1887,0.6268656716417911,0.5633802816901409,0.3484848484848485,0.2571428571428571,0.4029850746268656,0.38028169014084506,0.11244757142483247,0.028117447409874034,0.38571479829209077,0.2825946197007359
1888,0.4395604395604395,0.2222222222222222,0.2247191011235955,0.028571428571428567,0.2417582417582418,0.1388888888888889,0.10245114310804511,0.005653171078511422,0.4807209652531186,0.17857142857142858
1889,0.4,0.34090909090909094,0.12389380530973451,0.046511627906976744,0.34782608695652173,0.2727272727272727,0.02663972841610661,0.010532521529292104,0.28573528176702784,0.1435500432338954
1890,0.4833333333333333,0.44000000000000006,0.23728813559322037,0.24489795918367344,0.3333333333333333,0.34,0.16318903390612202,0.10047522531302545,0.32367763039587594,0.2345566963526008
1891,0.45652173913043476,0.28169014084507044,0.2,0.05797101449275362,0.32608695652173914,0.14084507042253522,0.08159493878109725,0.013889018890784397,0.3428301802004225,0.13139502376292986
1892,0.2340425531914894,0.27522935779816515,0.08695652173913043,0.11214953271028039,0.12765957446808512,0.14678899082568808,0.013368255124145662,0.012446218617455759,0.27360817761153117,0.32159042403436594
1893,0.5655172413793104,0.5528455284552846,0.34965034965034963,0.34710743801652894,0.4413793103448276,0.4878048780487805,0.3236141116366386,0.24953356341264524,0.45252757352941175,0.3861416361416361
1894,0.4565217391304348,0.4571428571428572,0.2888888888888889,0.23529411764705885,0.3695652173913044,0.3428571428571429,0.14370666679571661,0.14722500792577722,0.5891290451088115,0.4968538430904023
1895,0.676056338028169,0.676056338028169,0.5797101449275363,0.6376811594202899,0.676056338028169,0.676056338028169,0.44104365433804277,0.4952678638635001,0.6348938630942341,0.6241591389582933
1896,0.25882352941176473,0.32,0.14457831325301204,0.136986301369863,0.1647058823529412,0.21333333333333332,0.02900697051073635,0.08197539732074254,0.21189258312020456,0.2521748586341888
1897,0.29565217391304344,0.2978723404255319,0.07079646017699115,0.1956521739130435,0.1391304347826087,0.14893617021276595,0.05645743106238594,0.06961200504228233,0.23678487214120555,0.1966645051471184
1898,0.3584905660377358,0.3617021276595745,0.19230769230769232,0.2391304347826087,0.32075471698113206,0.3617021276595745,0.14918508653824356,0.18536008294764042,0.3885979729729729,0.37978181468665906
1899,0.34615384615384615,0.3409090909090909,0.1372549019607843,0.11627906976744184,0.2692307692307693,0.22727272727272724,0.07760620502671253,0.017821295368029472,0.20981572705710638,0.14956729832762888
1900,0.6744186046511628,0.59375,0.411764705882353,0.4444444444444444,0.3023255813953488,0.40625,0.314001771396409,0.20468338734951802,0.5489570183743601,0.40154413572657977
1901,0.4631578947368421,0.40449438202247195,0.19354838709677422,0.22988505747126436,0.2947368421052632,0.3370786516853933,0.039448815526825526,0.1458352000597073,0.3097728990586134,0.2418582375478927
1902,0.7313432835820897,0.5190839694656489,0.5,0.24806201550387597,0.5373134328358209,0.3206106870229008,0.34319546008524354,0.16950124193822927,0.5247970946303593,0.34904991948470204
1903,0.5686274509803921,0.6233766233766234,0.26000000000000006,0.29333333333333333,0.2941176470588235,0.28571428571428575,0.11448557306517253,0.1948172411853275,0.46000985621521334,0.4128237833594976
1904,0.5492957746478874,0.6017699115044248,0.3,0.37837837837837834,0.4084507042253521,0.5309734513274337,0.1994611652740954,0.19885882505679223,0.4289558113448773,0.43162076680999023
1905,0.7591240875912407,0.7751937984496123,0.5037037037037038,0.6299212598425198,0.6277372262773722,0.7751937984496123,0.409553534236074,0.43993943097822247,0.5720360305958131,0.5706243486585394
1906,0.52,0.4158415841584159,0.22448979591836735,0.1414141414141414,0.3,0.21782178217821782,0.11444132075555219,0.01333753219251146,0.3650879470857291,0.22755078485687905
1907,0.65,0.7526881720430109,0.5423728813559322,0.7032967032967032,0.6166666666666667,0.7526881720430109,0.40211999279456984,0.40331615674445526,0.5856300150221669,0.5296610169491526
1908,0.3666666666666667,0.21739130434782608,0.15254237288135591,0.044444444444444446,0.2,0.15217391304347827,0.02972724110585495,0.01107055188858121,0.2638984120018651,0.11130360878661086
1909,0.5467625899280576,0.5982905982905983,0.2627737226277372,0.2260869565217391,0.3741007194244605,0.39316239316239315,0.19408095567420114,0.0954978261981594,0.4067302596714362,0.3954259062269862
1910,0.4464285714285714,0.43999999999999995,0.12727272727272726,0.16326530612244897,0.3035714285714286,0.36000000000000004,0.03186646824300317,0.035447813235115144,0.2656777019358345,0.2158584520381462
